ID,Location,Date,Time,Referee
50,Kazan,30-Jun-18,17:00,FAGHANI Alireza
49,Sochi,30-Jun-18,21:00,RAMOS Cesar
51,Moscow,1-Jul-18,17:00,KUIPERS Bjorn
52,Nizhny Novgorod,1-Jul-18,21:00,PITANA Nestor
53,Samara,2-Jul-18,18:00,ROCCHI Gianluca
54,Rostov-On-Don,2-Jul-18,21:00,DIEDHIOU Malang
55,St. Petersburg,3-Jul-18,17:00,SKOMINA Damir
56,Moscow,3-Jul-18,21:00,GEIGER Mark
57,Nizhny Novgorod,6-Jul-18,17:00,PITANA Nestor
58,Kazan,6-Jul-18,21:00,MAZIC Milorad
60,Samara,7-Jul-18,18:00,KUIPERS Bjorn
59,Sochi,7-Jul-18,21:00,RICCI Sandro
61,St. Petersburg,10-Jul-18,21:00,CUNHA Andres
62,Moscow,11-Jul-18,21:00,CAKIR Cuneyt
63,St. Petersburg,14-Jul-18,17:00,FAGHANI Alireza
64,Moscow,15-Jul-18,18:00,PITANA Nestor
