player_team,Player_jersey,reds,yellows,off_sides,fouls_number,,
Senegal,1,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Senegal',1,NULL,NULL,NULL,NULL);"
Croatia,19,0,0,0,4,,"insert into player_stat values ('Croatia',19,0,0,0,4);"
Peru,18,0,0,1,2,,"insert into player_stat values ('Peru',18,0,0,1,2);"
Argentina,8,0,1,0,1,,"insert into player_stat values ('Argentina',8,0,1,0,1);"
Sweden,3,0,0,0,1,,"insert into player_stat values ('Sweden',3,0,0,0,1);"
Egypt,1,0,0,0,0,,"insert into player_stat values ('Egypt',1,0,0,0,0);"
Switzerland,20,0,0,0,1,,"insert into player_stat values ('Switzerland',20,0,0,0,1);"
Tunisia,23,0,0,0,1,,"insert into player_stat values ('Tunisia',23,0,0,0,1);"
Russia,21,0,0,0,3,,"insert into player_stat values ('Russia',21,0,0,0,3);"
Uruguay,16,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Uruguay',16,NULL,NULL,NULL,NULL);"
Uruguay,9,0,0,1,5,,"insert into player_stat values ('Uruguay',9,0,0,1,5);"
Portugal,4,0,0,0,0,,"insert into player_stat values ('Portugal',4,0,0,0,0);"
Costa Rica,2,0,1,0,1,,"insert into player_stat values ('Costa Rica',2,0,1,0,1);"
France,2,0,1,0,9,,"insert into player_stat values ('France',2,0,1,0,9);"
Russia,3,0,1,0,5,,"insert into player_stat values ('Russia',3,0,1,0,5);"
Spain,3,0,1,0,4,,"insert into player_stat values ('Spain',3,0,1,0,4);"
Morocco,15,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Morocco',15,NULL,NULL,NULL,NULL);"
Argentina,13,0,0,1,3,,"insert into player_stat values ('Argentina',13,0,0,1,3);"
Panama,3,0,0,0,0,,"insert into player_stat values ('Panama',3,0,0,0,0);"
Uruguay,13,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Uruguay',13,NULL,NULL,NULL,NULL);"
Switzerland,11,0,2,0,8,,"insert into player_stat values ('Switzerland',11,0,2,0,8);"
Brazil,2,0,0,0,2,,"insert into player_stat values ('Brazil',2,0,0,0,2);"
Senegal,22,0,0,0,1,,"insert into player_stat values ('Senegal',22,0,0,0,1);"
Peru,1,0,0,0,0,,"insert into player_stat values ('Peru',1,0,0,0,0);"
Serbia,12,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Serbia',12,NULL,NULL,NULL,NULL);"
Croatia,1,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Croatia',1,NULL,NULL,NULL,NULL);"
Australia,17,0,1,0,1,,"insert into player_stat values ('Australia',17,0,1,0,1);"
Senegal,11,0,1,0,1,,"insert into player_stat values ('Senegal',11,0,1,0,1);"
Russia,6,0,0,0,7,,"insert into player_stat values ('Russia',6,0,0,0,7);"
Peru,17,0,0,0,2,,"insert into player_stat values ('Peru',17,0,0,0,2);"
Germany,3,0,0,1,2,,"insert into player_stat values ('Germany',3,0,0,1,2);"
Senegal,15,0,0,0,0,,"insert into player_stat values ('Senegal',15,0,0,0,0);"
Saudi Arabia,22,0,0,0,0,,"insert into player_stat values ('Saudi Arabia',22,0,0,0,0);"
England,17,0,0,1,1,,"insert into player_stat values ('England',17,0,0,1,1);"
France,18,0,0,0,3,,"insert into player_stat values ('France',18,0,0,0,3);"
Argentina,9,0,0,0,2,,"insert into player_stat values ('Argentina',9,0,0,0,2);"
Argentina,5,0,0,0,0,,"insert into player_stat values ('Argentina',5,0,0,0,0);"
Panama,13,0,0,0,0,,"insert into player_stat values ('Panama',13,0,0,0,0);"
Germany,23,0,0,1,0,,"insert into player_stat values ('Germany',23,0,0,1,0);"
Argentina,17,0,2,0,3,,"insert into player_stat values ('Argentina',17,0,2,0,3);"
Panama,16,0,0,1,1,,"insert into player_stat values ('Panama',16,0,0,1,1);"
Saudi Arabia,4,0,0,0,0,,"insert into player_stat values ('Saudi Arabia',4,0,0,0,0);"
France,14,0,2,0,12,,"insert into player_stat values ('France',14,0,2,0,12);"
Belgium,9,0,0,1,10,,"insert into player_stat values ('Belgium',9,0,0,1,10);"
Korea Republic,1,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Korea Republic',1,NULL,NULL,NULL,NULL);"
Tunisia,12,0,0,0,1,,"insert into player_stat values ('Tunisia',12,0,0,0,1);"
Poland,2,0,0,0,1,,"insert into player_stat values ('Poland',2,0,0,0,1);"
Spain,22,0,0,3,1,,"insert into player_stat values ('Spain',22,0,0,3,1);"
Uruguay,23,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Uruguay',23,NULL,NULL,NULL,NULL);"
Denmark,23,0,1,0,0,,"insert into player_stat values ('Denmark',23,0,1,0,0);"
Croatia,17,0,2,3,13,,"insert into player_stat values ('Croatia',17,0,2,3,13);"
Sweden,2,0,2,0,4,,"insert into player_stat values ('Sweden',2,0,2,0,4);"
Brazil,12,0,0,0,1,,"insert into player_stat values ('Brazil',12,0,0,0,1);"
Belgium,23,0,1,0,2,,"insert into player_stat values ('Belgium',23,0,1,0,2);"
Serbia,17,0,0,0,2,,"insert into player_stat values ('Serbia',17,0,0,0,2);"
Denmark,8,0,1,0,11,,"insert into player_stat values ('Denmark',8,0,1,0,11);"
Belgium,14,0,0,2,3,,"insert into player_stat values ('Belgium',14,0,0,2,3);"
Sweden,16,0,0,0,0,,"insert into player_stat values ('Sweden',16,0,0,0,0);"
Senegal,2,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Senegal',2,NULL,NULL,NULL,NULL);"
Nigeria,20,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Nigeria',20,NULL,NULL,NULL,NULL);"
Brazil,1,0,0,0,0,,"insert into player_stat values ('Brazil',1,0,0,0,0);"
Morocco,23,0,0,0,1,,"insert into player_stat values ('Morocco',23,0,0,0,1);"
Morocco,21,0,0,0,2,,"insert into player_stat values ('Morocco',21,0,0,0,2);"
Brazil,17,0,1,0,4,,"insert into player_stat values ('Brazil',17,0,1,0,4);"
Portugal,12,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Portugal',12,NULL,NULL,NULL,NULL);"
Poland,7,0,0,0,0,,"insert into player_stat values ('Poland',7,0,0,0,0);"
Iceland,18,0,0,0,4,,"insert into player_stat values ('Iceland',18,0,0,0,4);"
Iceland,11,0,1,1,6,,"insert into player_stat values ('Iceland',11,0,1,1,6);"
Uruguay,19,0,0,0,2,,"insert into player_stat values ('Uruguay',19,0,0,0,2);"
Switzerland,1,0,0,0,0,,"insert into player_stat values ('Switzerland',1,0,0,0,0);"
Colombia,1,0,0,0,0,,"insert into player_stat values ('Colombia',1,0,0,0,0);"
Panama,4,0,1,0,5,,"insert into player_stat values ('Panama',4,0,1,0,5);"
Croatia,14,0,0,0,0,,"insert into player_stat values ('Croatia',14,0,0,0,0);"
Germany,7,0,0,0,4,,"insert into player_stat values ('Germany',7,0,0,0,4);"
Iceland,7,0,0,0,0,,"insert into player_stat values ('Iceland',7,0,0,0,0);"
Denmark,21,0,0,0,3,,"insert into player_stat values ('Denmark',21,0,0,0,3);"
Panama,20,0,1,0,6,,"insert into player_stat values ('Panama',20,0,1,0,6);"
Nigeria,7,0,0,1,5,,"insert into player_stat values ('Nigeria',7,0,0,1,5);"
Morocco,22,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Morocco',22,NULL,NULL,NULL,NULL);"
Nigeria,5,0,1,0,2,,"insert into player_stat values ('Nigeria',5,0,1,0,2);"
Korea Republic,23,0,0,0,0,,"insert into player_stat values ('Korea Republic',23,0,0,0,0);"
Colombia,23,0,0,0,2,,"insert into player_stat values ('Colombia',23,0,0,0,2);"
France,23,NULL,NULL,NULL,NULL,,"insert into player_stat values ('France',23,NULL,NULL,NULL,NULL);"
Nigeria,3,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Nigeria',3,NULL,NULL,NULL,NULL);"
