player_team,Player_jersey,red_real,yellow_real,offsides_real,fouls_real
Senegal,1,0,0,0,0
Croatia,19,0,0,0,4
Peru,18,0,0,1,2
Argentina,8,0,1,0,1
Sweden,3,0,0,0,1
Egypt,1,0,0,0,0
Switzerland,20,0,0,0,1
Tunisia,23,0,0,0,1
Russia,21,0,0,0,3
Uruguay,16,0,0,0,0
Uruguay,9,0,0,1,5
Portugal,4,0,0,0,0
Costa Rica,2,0,1,0,1
France,2,0,1,0,9
Russia,3,0,1,0,5
Spain,3,0,1,0,4
Morocco,15,0,0,0,0
Argentina,13,0,0,1,3
Panama,3,0,0,0,0
Uruguay,13,0,0,0,0
Switzerland,11,0,2,0,8
Brazil,2,0,0,0,2
Senegal,22,0,0,0,1
Peru,1,0,0,0,0
Serbia,12,0,0,0,0
Croatia,1,0,0,0,0
Australia,17,0,1,0,1
Senegal,11,0,1,0,1
Russia,6,0,0,0,7
Peru,17,0,0,0,2
Germany,3,0,0,1,2
Senegal,15,0,0,0,0
Saudi Arabia,22,0,0,0,0
England,17,0,0,1,1
France,18,0,0,0,3
Argentina,9,0,0,0,2
Argentina,5,0,0,0,0
Panama,13,0,0,0,0
Germany,23,0,0,1,0
Argentina,17,0,2,0,3
Panama,16,0,0,1,1
Saudi Arabia,4,0,0,0,0
France,14,0,2,0,12
Belgium,9,0,0,1,10
Korea Republic,1,0,0,0,0
Tunisia,12,0,0,0,1
Poland,2,0,0,0,1
Spain,22,0,0,3,1
Uruguay,23,0,0,0,0
Denmark,23,0,1,0,0
Croatia,17,0,2,3,13
Sweden,2,0,2,0,4
Brazil,12,0,0,0,1
Belgium,23,0,1,0,2
Serbia,17,0,0,0,2
Denmark,8,0,1,0,11
Belgium,14,0,0,2,3
Sweden,16,0,0,0,0
Senegal,2,0,0,0,0
Nigeria,20,0,0,0,0
Brazil,1,0,0,0,0
Morocco,23,0,0,0,1
Morocco,21,0,0,0,2
Brazil,17,0,1,0,4
Portugal,12,0,0,0,0
Poland,7,0,0,0,0
Iceland,18,0,0,0,4
Iceland,11,0,1,1,6
Uruguay,19,0,0,0,2
Switzerland,1,0,0,0,0
Colombia,1,0,0,0,0
Panama,4,0,1,0,5
Croatia,14,0,0,0,0
Germany,7,0,0,0,4
Iceland,7,0,0,0,0
Denmark,21,0,0,0,3
Panama,20,0,1,0,6
Nigeria,7,0,0,1,5
Morocco,22,0,0,0,0
Nigeria,5,0,1,0,2
Korea Republic,23,0,0,0,0
Colombia,23,0,0,0,2
France,23,0,0,0,0
Nigeria,3,0,0,0,0
Brazil,16,0,0,0,0
Belgium,1,0,0,0,0
Serbia,7,0,0,0,0
Poland,3,0,0,0,2
Switzerland,22,0,2,0,4
Argentina,18,0,0,0,0
Poland,12,0,0,0,0
Korea Republic,15,0,2,0,4
Denmark,3,0,0,0,0
Uruguay,22,0,0,0,4
Peru,23,0,1,0,5
Tunisia,6,0,0,0,0
Iceland,1,0,0,0,0
Japan,17,0,1,0,6
Korea Republic,8,0,0,0,3
Panama,9,0,0,1,1
Japan,6,0,0,0,0
Denmark,15,0,0,1,0
Korea Republic,5,0,0,0,1
Panama,1,0,0,0,0
IR Iran,12,0,0,0,0
Switzerland,4,0,0,0,0
Colombia,5,0,2,0,8
Uruguay,18,0,0,0,1
Uruguay,14,0,0,0,4
Argentina,11,0,0,3,1
England,13,0,0,0,0
Peru,22,0,0,0,0
Mexico,11,0,0,1,3
Senegal,17,0,0,0,1
Senegal,9,0,0,2,1
Germany,9,0,0,3,1
Brazil,6,0,1,0,1
Croatia,10,0,0,0,12
Spain,13,0,0,0,0
Nigeria,16,0,0,0,0
England,3,0,0,1,1
Korea Republic,14,0,0,0,2
Denmark,9,0,0,2,4
Switzerland,21,0,0,0,0
Morocco,12,0,1,0,0
Portugal,20,0,1,0,4
Russia,12,0,0,0,0
Saudi Arabia,6,0,0,0,0
Serbia,19,0,0,0,0
Saudi Arabia,13,0,0,0,4
Belgium,7,0,1,0,5
Korea Republic,10,0,1,0,2
England,4,0,0,0,5
Korea Republic,19,0,1,0,4
Belgium,8,0,0,1,12
Japan,23,0,0,0,0
Peru,2,0,0,0,2
Uruguay,1,0,0,0,0
France,19,0,0,0,1
Switzerland,23,0,1,0,3
Australia,7,0,1,0,6
Costa Rica,23,0,0,0,0
IR Iran,21,0,0,0,0
Belgium,22,0,0,1,2
Serbia,5,0,0,0,0
Mexico,16,0,2,1,15
Tunisia,22,0,0,0,0
Brazil,7,0,0,0,0
France,15,0,0,0,0
Sweden,10,0,0,0,3
Russia,9,0,0,0,0
Croatia,22,0,1,0,5
Australia,8,0,0,0,0
Sweden,14,0,0,0,0
Spain,7,0,0,0,0
Saudi Arabia,1,0,0,0,0
Panama,21,0,0,0,3
Korea Republic,9,0,1,0,3
Nigeria,14,0,0,1,1
Morocco,13,0,0,1,3
Portugal,15,0,0,0,3
England,9,0,0,4,4
Panama,19,0,1,0,5
England,22,0,0,1,0
Uruguay,15,0,0,0,8
Tunisia,7,0,0,0,2
Belgium,6,0,1,0,9
Saudi Arabia,3,0,0,0,3
France,20,0,0,0,0
Belgium,17,0,1,0,4
Peru,4,0,0,0,0
Peru,19,0,1,0,5
Serbia,21,0,2,0,6
Peru,20,0,0,1,3
Uruguay,5,0,0,0,1
Nigeria,23,0,0,0,0
Germany,16,0,0,0,2
Poland,9,0,0,1,5
Germany,11,0,0,1,3
Denmark,17,0,0,0,1
Russia,23,1,0,0,1
Tunisia,13,0,2,0,7
IR Iran,6,0,0,1,4
Spain,17,0,0,0,2
Iceland,16,0,0,0,0
Panama,22,0,0,0,0
Brazil,10,0,1,6,4
England,14,0,0,0,0
Argentina,1,0,0,0,0
Germany,19,0,0,0,1
Colombia,9,0,1,4,7
Senegal,19,0,2,2,5
Costa Rica,20,0,1,0,7
Serbia,2,0,0,0,2
Peru,10,0,0,0,5
Egypt,14,0,0,0,1
Sweden,6,0,0,0,3
Mexico,19,0,0,0,0
Tunisia,16,0,0,0,0
Costa Rica,5,0,0,0,2
England,8,0,1,0,3
Croatia,2,0,2,0,10
France,6,0,1,0,14
France,17,0,0,0,0
Morocco,8,0,2,0,7
Mexico,1,0,0,0,0
Spain,23,0,0,0,0
Poland,23,0,0,0,2
Costa Rica,6,0,0,0,2
Germany,2,0,0,0,0
Nigeria,9,0,0,0,5
Japan,20,0,1,0,1
Nigeria,19,0,0,0,0
England,11,0,0,1,2
Japan,5,0,0,0,2
Croatia,4,0,0,2,4
Australia,23,0,1,0,3
Tunisia,15,0,0,0,2
Colombia,8,0,0,0,0
Egypt,9,0,0,1,4
Costa Rica,22,0,0,0,0
Australia,1,0,0,0,0
Portugal,11,0,0,0,2
Spain,21,0,0,1,3
England,21,0,1,0,3
Australia,20,0,0,0,2
Nigeria,8,0,0,0,4
Japan,7,0,1,0,7
Croatia,3,0,1,0,11
Spain,1,0,0,0,0
Poland,18,0,0,0,4
Uruguay,6,0,2,0,8
Colombia,14,0,0,1,3
Portugal,7,0,2,1,3
Costa Rica,18,0,0,0,0
Russia,19,0,0,0,8
Peru,9,0,1,3,3
Japan,12,0,0,0,0
Sweden,9,0,0,5,15
Nigeria,12,0,0,0,1
Mexico,18,0,1,0,2
Nigeria,21,0,0,0,1
Australia,18,0,0,0,0
IR Iran,18,0,1,0,5
Iceland,14,0,0,0,4
Spain,5,0,1,0,5
Serbia,15,0,0,0,1
Saudi Arabia,16,0,0,0,2
Belgium,21,0,0,2,0
Egypt,7,0,1,0,7
France,8,0,0,0,1
Australia,14,0,0,0,0
France,21,0,2,0,8
Russia,2,0,0,1,4
France,16,0,0,0,0
Spain,2,0,0,0,2
Mexico,22,0,0,1,6
Belgium,12,0,0,0,0
Sweden,7,0,3,0,9
Mexico,17,0,0,0,0
Brazil,8,0,0,0,1
Saudi Arabia,2,0,0,0,0
Germany,5,0,1,0,3
Argentina,7,0,2,0,3
Peru,12,0,0,0,0
Switzerland,8,0,0,0,0
Saudi Arabia,19,0,0,2,4
Brazil,9,0,0,3,6
Uruguay,21,0,0,0,4
Denmark,18,0,0,0,0
Argentina,2,0,1,0,10
Japan,16,0,0,0,2
Peru,11,0,0,0,1
Russia,8,0,2,0,5
Iceland,22,0,0,0,0
Korea Republic,3,0,0,0,0
Germany,18,0,0,0,1
Belgium,3,0,0,0,3
Korea Republic,20,0,0,0,5
Croatia,6,0,1,0,7
Australia,12,0,0,0,0
