player-name,team,jersey,position,Bdate,height,caps,goals,match_red_card,,
Jordan PICKFORD,England,1,Goalkeeper,3/7/1994,185.0 cm,10,0,0,,"insert into player values ('Jordan PICKFORD','England',1,'Goalkeeper',to_date('3/7/1994','mm/dd/yyyy'),'185.0 cm',10,0,0);"
Hirving  LOZANO,Mexico,22,Forward,7/30/1995,176.0 cm,32,8,0,,"insert into player values ('Hirving  LOZANO','Mexico',22,'Forward',to_date('7/30/1995','mm/dd/yyyy'),'176.0 cm',32,8,0);"
SAMIR SAAD,Egypt,20,Defender,4/1/1989,183.0 cm,11,0,NULL,,"insert into player values ('SAMIR SAAD','Egypt',20,'Defender',to_date('4/1/1989','mm/dd/yyyy'),'183.0 cm',11,0,NULL);"
Marcus RASHFORD,England,19,Forward,10/31/1997,180.0 cm,25,3,0,,"insert into player values ('Marcus RASHFORD','England',19,'Forward',to_date('10/31/1997','mm/dd/yyyy'),'180.0 cm',25,3,0);"
Diego COSTA,Spain,19,Forward,10/7/1988,185.0 cm,24,10,0,,"insert into player values ('Diego COSTA','Spain',19,'Forward',to_date('10/7/1988','mm/dd/yyyy'),'185.0 cm',24,10,0);"
Arkadiusz MILIK,Poland,7,Forward,2/28/1994,186.0 cm,41,12,0,,"insert into player values ('Arkadiusz MILIK','Poland',7,'Forward',to_date('2/28/1994','mm/dd/yyyy'),'186.0 cm',41,12,0);"
David GUZMAN,Costa Rica,20,Midfielder,2/18/1990,176.0 cm,48,0,0,,"insert into player values ('David GUZMAN','Costa Rica',20,'Midfielder',to_date('2/18/1990','mm/dd/yyyy'),'176.0 cm',48,0,0);"
Renato TAPIA,Peru,13,Midfielder,7/28/1995,185.0 cm,33,3,0,,"insert into player values ('Renato TAPIA','Peru',13,'Midfielder',to_date('7/28/1995','mm/dd/yyyy'),'185.0 cm',33,3,0);"
Josip DRMIC,Switzerland,19,Forward,8/8/1992,184.0 cm,32,10,0,,"insert into player values ('Josip DRMIC','Switzerland',19,'Forward',to_date('8/8/1992','mm/dd/yyyy'),'184.0 cm',32,10,0);"
Benjamin PAVARD,France,2,Defender,3/28/1996,186.0 cm,12,1,0,,"insert into player values ('Benjamin PAVARD','France',2,'Defender',to_date('3/28/1996','mm/dd/yyyy'),'186.0 cm',12,1,0);"
Victor MOSES,Nigeria,11,Forward,12/12/1990,177.0 cm,34,12,0,,"insert into player values ('Victor MOSES','Nigeria',11,'Forward',to_date('12/12/1990','mm/dd/yyyy'),'177.0 cm',34,12,0);"
Giorgian DE ARRASCAETA,Uruguay,10,Forward,6/1/1994,172.0 cm,16,2,0,,"insert into player values ('Giorgian DE ARRASCAETA','Uruguay',10,'Forward',to_date('6/1/1994','mm/dd/yyyy'),'172.0 cm',16,2,0);"
Mario GOMEZ,Germany,23,Forward,7/10/1985,189.0 cm,78,31,0,,"insert into player values ('Mario GOMEZ','Germany',23,'Forward',to_date('7/10/1985','mm/dd/yyyy'),'189.0 cm',78,31,0);"
John STONES,England,5,Defender,5/28/1994,188.0 cm,33,2,0,,"insert into player values ('John STONES','England',5,'Defender',to_date('5/28/1994','mm/dd/yyyy'),'188.0 cm',33,2,0);"
Nemanja MATIC,Serbia,21,Midfielder,8/1/1988,194.0 cm,43,2,0,,"insert into player values ('Nemanja MATIC','Serbia',21,'Midfielder',to_date('8/1/1988','mm/dd/yyyy'),'194.0 cm',43,2,0);"
MANSOUR ALHARBI,Saudi Arabia,2,Defender,10/19/1987,173.0 cm,39,1,NULL,,"insert into player values ('MANSOUR ALHARBI','Saudi Arabia',2,'Defender',to_date('10/19/1987','mm/dd/yyyy'),'173.0 cm',39,1,NULL);"
Dedryck BOYATA,Belgium,20,Defender,11/28/1990,188.0 cm,10,0,0,,"insert into player values ('Dedryck BOYATA','Belgium',20,'Defender',to_date('11/28/1990','mm/dd/yyyy'),'188.0 cm',10,0,0);"
CEDRIC,Portugal,21,Defender,8/31/1991,172.0 cm,32,1,0,,"insert into player values ('CEDRIC','Portugal',21,'Defender',to_date('8/31/1991','mm/dd/yyyy'),'172.0 cm',32,1,0);"
David SILVA,Spain,21,Forward,1/8/1986,170.0 cm,125,35,0,,"insert into player values ('David SILVA','Spain',21,'Forward',to_date('1/8/1986','mm/dd/yyyy'),'170.0 cm',125,35,0);"
Luis SUAREZ,Uruguay,9,Forward,1/24/1987,182.0 cm,103,53,0,,"insert into player values ('Luis SUAREZ','Uruguay',9,'Forward',to_date('1/24/1987','mm/dd/yyyy'),'182.0 cm',103,53,0);"
Jamie MacLAREN,Australia,14,Forward,7/29/1993,178.0 cm,6,0,NULL,,"insert into player values ('Jamie MacLAREN','Australia',14,'Forward',to_date('7/29/1993','mm/dd/yyyy'),'178.0 cm',6,0,NULL);"
Michal PAZDAN,Poland,2,Defender,9/21/1987,181.0 cm,35,0,0,,"insert into player values ('Michal PAZDAN','Poland',2,'Defender',to_date('9/21/1987','mm/dd/yyyy'),'181.0 cm',35,0,0);"
Francois MOUBANDJE,Switzerland,3,Defender,6/21/1990,180.0 cm,18,0,NULL,,"insert into player values ('Francois MOUBANDJE','Switzerland',3,'Defender',to_date('6/21/1990','mm/dd/yyyy'),'180.0 cm',18,0,NULL);"
Jamie VARDY,England,11,Forward,1/11/1987,178.0 cm,26,7,0,,"insert into player values ('Jamie VARDY','England',11,'Forward',to_date('1/11/1987','mm/dd/yyyy'),'178.0 cm',26,7,0);"
Christian CUEVA,Peru,8,Midfielder,11/23/1991,169.0 cm,48,8,0,,"insert into player values ('Christian CUEVA','Peru',8,'Midfielder',to_date('11/23/1991','mm/dd/yyyy'),'169.0 cm',48,8,0);"
Dusan TADIC,Serbia,10,Midfielder,11/20/1988,181.0 cm,56,12,0,,"insert into player values ('Dusan TADIC','Serbia',10,'Midfielder',to_date('11/20/1988','mm/dd/yyyy'),'181.0 cm',56,12,0);"
Jose CORONA,Mexico,1,Goalkeeper,1/26/1981,182.0 cm,54,0,NULL,,"insert into player values ('Jose CORONA','Mexico',1,'Goalkeeper',to_date('1/26/1981','mm/dd/yyyy'),'182.0 cm',54,0,NULL);"
Simeon NWANKWO,Nigeria,13,Forward,5/7/1992,197.0 cm,4,0,0,,"insert into player values ('Simeon NWANKWO','Nigeria',13,'Forward',to_date('5/7/1992','mm/dd/yyyy'),'197.0 cm',4,0,0);"
Giovani LO CELSO,Argentina,20,Midfielder,4/9/1996,177.0 cm,5,0,NULL,,"insert into player values ('Giovani LO CELSO','Argentina',20,'Midfielder',to_date('4/9/1996','mm/dd/yyyy'),'177.0 cm',5,0,NULL);"
Jon BODVARSSON,Iceland,22,Forward,5/25/1992,189.0 cm,39,2,0,,"insert into player values ('Jon BODVARSSON','Iceland',22,'Forward',to_date('5/25/1992','mm/dd/yyyy'),'189.0 cm',39,2,0);"
