first-name,last-name,team,jersey,position,Bdate,height,caps,goals,match_red_card
Jordan,PICKFORD ,England,1,Goalkeeper,7-Mar-94,185,10,0,0
Hirving,LOZANO ,Mexico,22,Forward,30-Jul-95,176,32,8,0
SAMIR,SAAD ,Egypt,20,Defender,1-Apr-89,183,11,0,null
Marcus,RASHFORD ,England,19,Forward,31-Oct-97,180,25,3,0
Diego,COSTA ,Spain,19,Forward,7-Oct-88,185,24,10,0
Arkadiusz,MILIK ,Poland,7,Forward,28-Feb-94,186,41,12,0
David,GUZMAN ,Costa Rica,20,Midfielder,18-Feb-90,176,48,0,0
Renato,TAPIA ,Peru,13,Midfielder,28-Jul-95,185,33,3,0
Josip,DRMIC ,Switzerland,19,Forward,8-Aug-92,184,32,10,0
Benjamin,PAVARD ,France,2,Defender,28-Mar-96,186,12,1,0
Victor,MOSES ,Nigeria,11,Forward,12-Dec-90,177,34,12,0
Giorgian,DE ARRASCAETA ,Uruguay,10,Forward,1-Jun-94,172,16,2,0
Mario,GOMEZ ,Germany,23,Forward,10-Jul-85,189,78,31,0
John,STONES ,England,5,Defender,28-May-94,188,33,2,0
Nemanja,MATIC ,Serbia,21,Midfielder,1-Aug-88,194,43,2,0
MANSOUR,ALHARBI ,Saudi Arabia,2,Defender,19-Oct-87,173,39,1,null
Dedryck,BOYATA ,Belgium,20,Defender,28-Nov-90,188,10,0,0
CEDRIC, ,Portugal,21,Defender,31-Aug-91,172,32,1,0
David,SILVA ,Spain,21,Forward,8-Jan-86,170,125,35,0
Luis,SUAREZ ,Uruguay,9,Forward,24-Jan-87,182,103,53,0
Jamie,MacLAREN ,Australia,14,Forward,29-Jul-93,178,6,0,null
Michal,PAZDAN ,Poland,2,Defender,21-Sep-87,181,35,0,0
Francois,MOUBANDJE ,Switzerland,3,Defender,21-Jun-90,180,18,0,null
Jamie,VARDY ,England,11,Forward,11-Jan-87,178,26,7,0
Christian,CUEVA ,Peru,8,Midfielder,23-Nov-91,169,48,8,0
Dusan,TADIC ,Serbia,10,Midfielder,20-Nov-88,181,56,12,0
Jose,CORONA ,Mexico,1,Goalkeeper,26-Jan-81,182,54,0,null
Simeon,NWANKWO ,Nigeria,13,Forward,7-May-92,197,4,0,0
Giovani,LO CELSO,Argentina,20,Midfielder,9-Apr-96,177,5,0,null
Jon,BODVARSSON ,Iceland,22,Forward,25-May-92,189,39,2,0
OH,Bansuk ,Korea Republic,4,Defender,20-May-88,189,2,0,null
Rami,BEDOUI ,Tunisia,6,Defender,19-Jan-90,187,11,3,0
Adil,RAMI ,France,17,Defender,27-Dec-85,190,35,1,null
Marvin,PLATTENHARDT ,Germany,2,Defender,26-Jan-92,181,7,0,0
Shinji,KAGAWA ,Japan,10,Midfielder,17-Mar-89,175,95,31,0
OSAMA,HAWSAWI ,Saudi Arabia,3,Defender,31-Mar-84,188,138,7,0
Luis,ADVINCULA ,Peru,17,Defender,2-Mar-90,178,68,0,0
MOHAMED,ELNENY ,Egypt,17,Midfielder,11-Jul-92,181,64,5,0
Nabil,DIRAR ,Morocco,17,Defender,25-Feb-86,187,40,5,0
Alfred,NDIAYE ,Senegal,13,Midfielder,6-Mar-90,186,18,1,0
Sverrir,INGASON ,Iceland,5,Defender,5-Aug-93,188,22,3,0
ABDULLAH,OTAYF ,Saudi Arabia,14,Midfielder,3-Aug-92,177,16,1,0
Jefferson,FARFAN ,Peru,10,Forward,26-Oct-84,177,86,25,0
MUHANNAD,ASIRI ,Saudi Arabia,20,Forward,14-Oct-86,185,19,4,0
Danny,ROSE ,England,3,Defender,2-Jul-90,173,23,0,0
Robbie,KRUSE ,Australia,10,Forward,5-Oct-88,180,67,5,0
MARIO,FERNANDES ,Russia,2,Defender,19-Sep-90,187,10,1,0
Marcus,BERG ,Sweden,9,Forward,17-Aug-86,183,62,18,0
Cristian,GAMBOA ,Costa Rica,16,Defender,24-Oct-89,175,71,3,0
